number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_lstm_hidden_size,params_onset_weight,params_positive_weight,params_use_lstm,state
0,0.7146325281085655,2025-05-04 10:37:42.168236,2025-05-04 10:40:07.865246,0 days 00:02:25.697010,0.304906185077483,0.002103165561450347,,0.6724888730307069,5.27936653776793,False,COMPLETE
1,0.7144634628596014,2025-05-04 10:40:08.024993,2025-05-04 10:42:30.670485,0 days 00:02:22.645492,0.3187953208226538,0.0010753164677591172,,0.6213423928540847,12.578569856401707,False,COMPLETE
2,0.7030998623595388,2025-05-04 10:42:30.834622,2025-05-04 10:44:54.365625,0 days 00:02:23.531003,0.42867632209407913,0.004458143451497378,,0.7562597250320111,13.703451480056673,False,COMPLETE
3,0.6848127743917071,2025-05-04 10:44:54.526309,2025-05-04 10:48:30.002095,0 days 00:03:35.475786,0.3283646944126195,0.005686867621396648,128.0,0.6846059572871085,14.973391871300247,True,COMPLETE
4,0.7142897156584302,2025-05-04 10:48:30.162336,2025-05-04 10:50:53.100262,0 days 00:02:22.937926,0.18809562963649032,0.0013824497713957687,,0.7127075348959435,22.470234161167202,False,COMPLETE
5,0.6935210925503644,2025-05-04 10:50:53.260452,2025-05-04 10:54:08.312226,0 days 00:03:15.051774,0.3108661937588879,0.000740691368972583,256.0,0.6520619115136282,28.962209632828635,True,COMPLETE
6,0.6801676673525818,2025-05-04 10:54:08.492048,2025-05-04 10:57:38.462774,0 days 00:03:29.970726,0.13173692312247665,0.0017463804707731827,512.0,0.6525331878562132,24.29848857285347,True,COMPLETE
7,0.7015182325324248,2025-05-04 10:57:38.617146,2025-05-04 10:59:05.210950,0 days 00:01:26.593804,0.13215117320125058,0.0012663985490528606,,0.8339976839810394,20.46257870096418,False,COMPLETE
8,0.6869543407960552,2025-05-04 10:59:05.369840,2025-05-04 11:02:22.902269,0 days 00:03:17.532429,0.21430646299463857,0.001259437464000573,256.0,0.750850264688482,25.44177895214824,True,COMPLETE
9,0.6865881546520584,2025-05-04 11:02:23.062827,2025-05-04 11:05:52.812379,0 days 00:03:29.749552,0.2901781829778691,0.0017947636108265328,512.0,0.74391005082967,24.81255471701427,True,COMPLETE
10,0.6850200951816254,2025-05-04 11:05:52.981366,2025-05-04 11:06:41.165546,0 days 00:00:48.184180,0.47020040559101145,0.0037330977085889383,,0.8833977576643357,5.089526780533308,False,COMPLETE
